Rank,Card
1,515
2,6863
3,7700
4,7847
5,794
6,7452
7,2535
8,8693
9,8507
10,7493
11,7611
12,1611
13,3581
14,1348
15,4838
16,707
17,3399
18,9803
19,4529
20,4739
21,5504
22,9095
23,990
24,4946
25,9666
26,6106
27,6677
28,899
29,2119
30,505
31,8701
32,2626
33,964
34,6846
35,8454
36,637
37,2421
38,6086
39,6135
40,3315
41,7892
42,8294
43,7480
44,7350
45,8451
46,537
47,7194
48,1764
49,1332
50,1642
51,8070
52,1435
53,6451
54,8432
55,5215
56,8882
57,7736
58,618
59,5598
60,3913
61,3006
62,6657
63,6365
64,5149
65,9919
66,850
67,9592
68,1561
69,2460
70,3312
71,9865
72,3652
73,8773
74,453
75,5942
76,7630
77,2028
78,2451
79,1632
80,7961
81,4277
82,5125
83,8179
84,234
85,8873
86,625
87,2632
88,6972
89,2750
90,4138
91,1288
92,3448
93,8935
94,656
95,9169
96,2470
97,9841
98,4906
99,6856
100,5733
101,5203
102,9310
103,8021
104,6471
105,98
106,1537
107,2241
108,3792
109,8677
110,8213
111,2779
112,8656
113,7508
114,8619
115,8134
116,2974
117,706
118,1439
119,4485
120,698
121,3333
122,6218
123,862
124,9565
125,51
126,6647
127,7199
128,2027
129,7730
130,4977
131,6969
132,5445
133,7841
134,4480
135,8501
136,1304
137,4370
138,1080
139,9099
140,8430
141,5461
142,8127
143,1531
144,4431
145,3558
146,2379
147,5700
148,9724
149,1627
150,7819
151,4139
152,9143
153,6186
154,4726
155,7747
156,6170
157,1709
158,3912
159,8194
160,6141
161,5565
162,8185
163,8631
164,3475
165,7318
166,8569
167,9267
168,4784
169,2897
170,2392
171,9407
172,7790
173,7555
174,9625
175,2950
176,3719
177,1318
178,4932
179,5187
180,5758
181,4015
182,632
183,7473
184,7823
185,5365
186,8319
187,1714
188,3859
189,9811
190,438
191,5909
192,2448
193,817
194,5172
195,1956
196,7526
197,7076
198,9112
199,6284
200,6637
201,8473
202,3583
203,4994
204,4970
205,7314
206,5148
207,4741
208,4782
209,182
210,2837
211,3882
212,7246
213,6816
214,7895
215,2730
216,1641
217,6702
218,5147
219,7000
220,5179
221,1967
222,9886
223,7698
224,2895
225,7211
226,2998
227,9065
228,7426
229,7647
230,5065
231,1140
232,7359
233,7064
234,5819
235,268
236,4851
237,7090
238,1495
239,9618
240,2609
241,803
242,9910
243,7331
244,987
245,2593
246,235
247,6014
248,1706
249,6425
250,9804
251,8921
252,3641
253,7830
254,1048
255,317
256,8702
257,8247
258,6438
259,6607
260,4159
261,1953
262,3690
263,9453
264,3353
265,4053
266,6325
267,5555
268,3656
269,9674
270,8166
271,8315
272,3963
273,8611
274,9707
275,8393
276,7963
277,9852
278,3257
279,1407
280,9609
281,8458
282,8130
283,7388
284,4204
285,7877
286,4437
287,9934
288,4481
289,5070
290,8041
291,2553
292,5752
293,9432
294,7509
295,4470
296,8630
297,1382
298,4908
299,1358
300,5155
301,6217
302,5854
303,8769
304,9230
305,6912
306,5026
307,6484
308,2999
309,3438
310,8341
311,292
312,7223
313,8108
314,6154
315,8335
316,9067
317,2321
318,3764
319,3835
320,7678
321,5029
322,9194
323,2735
324,119
325,553
326,5628
327,1788
328,396
329,8370
330,2330
331,8051
332,9342
333,8919
334,2204
335,3508
336,6403
337,5675
338,9248
339,4092
340,9695
341,1475
342,2760
343,9749
344,1722
345,581
346,7970
347,337
348,4321
349,5621
350,9896
351,5788
352,5806
353,5680
354,5584
355,1224
356,1645
357,1824
358,5262
359,6316
360,2184
361,4140
362,5285
363,939
364,8228
365,9540
366,5674
367,3060
368,8353
369,1949
370,8300
371,3284
372,7044
373,7588
374,4249
375,2034
376,6580
377,120
378,6171
379,6460
380,5264
381,9733
382,8962
383,3203
384,6370
385,8579
386,1540
387,3175
388,2450
389,5119
390,3979
391,5330
392,4852
393,6026
394,6053
395,5192
396,2150
397,6007
398,88
399,2738
400,9594
401,4576
402,1725
403,3384
404,2219
405,1979
406,6984
407,8255
