Rank,Card
1,7854
2,9905
3,4119
4,5314
5,4503
6,8316
7,5103
8,7319
9,1458
10,9074
11,4849
12,5949
13,2017
14,7605
15,8576
16,5247
17,107
18,3068
19,8794
20,8923
21,5692
22,2586
23,6862
24,7296
25,4818
26,8518
27,3983
28,6787
29,2498
30,3669
31,8376
32,5214
33,4654
34,2993
35,4807
36,5923
37,8786
38,2113
39,9390
40,5454
41,1521
42,3244
43,4531
44,9332
45,3827
46,6093
47,4508
48,9645
49,7619
50,7087
51,5975
52,6596
53,8777
54,9539
55,2915
56,5581
57,6853
58,1887
59,8905
60,6467
61,5492
62,3139
63,3565
64,9942
65,3877
66,3171
67,2743
68,9939
69,3502
70,8492
71,1732
72,6935
73,3477
74,9127
75,9135
76,9096
77,8812
78,4410
79,9534
80,3019
81,1111
82,6714
83,2144
84,9903
85,2337
86,4606
87,6924
88,3335
89,6350
90,6786
91,9192
92,8588
93,3511
94,2467
95,9782
96,3454
97,6377
98,2671
99,2033
100,6133
101,8792
102,3920
103,2639
104,283
105,1860
106,2010
107,5018
108,3211
109,4859
110,1011
111,4843
112,7891
113,6817
114,4273
115,1132
116,7664
117,8940
118,7076
119,32
120,8012
121,8568
122,70
123,8722
124,6487
125,3341
126,1792
127,3089
128,7413
129,9144
130,1757
131,7813
132,7359
133,186
134,9641
135,1104
136,8618
137,6662
138,5361
139,1194
140,4574
141,2846
142,7737
143,1474
144,6720
145,3490
146,6681
147,3515
148,2215
149,4735
150,8535
151,1867
152,988
153,5881
154,3158
155,973
156,8180
157,8986
158,4395
159,5959
160,2738
161,5295
162,8357
163,6329
164,4452
165,8083
166,5222
167,6390
168,770
169,8959
170,4232
171,4617
172,3032
173,5224
174,7083
175,2735
176,4444
177,259
178,5482
179,9966
180,9661
181,1360
182,6506
183,7601
184,9471
185,7152
186,2536
187,7653
188,6524
189,8094
190,3397
191,9134
192,9878
193,5333
194,7367
195,4413
196,619
197,2292
198,7334
199,2786
200,4462
201,79
202,1835
203,1287
204,6857
205,8451
206,6106
207,2517
208,2165
209,9639
210,6877
211,3147
212,222
213,8245
214,1538
215,591
216,3290
217,2065
218,9050
219,7054
220,3280
221,4504
222,6824
223,4287
224,8388
225,5185
226,3649
227,9510
228,7242
229,4255
230,1857
231,2734
232,6125
233,1740
234,9486
235,5999
236,209
237,9576
238,5668
239,5040
240,7639
241,4264
242,1940
243,2960
244,5338
245,9691
246,140
247,4085
248,9718
249,7342
250,2630
251,4382
252,6247
253,1003
254,4497
255,9723
256,1547
257,9366
258,4780
259,9627
260,2902
261,5916
262,8663
263,8165
264,164
265,9110
266,9890
267,6226
268,4676
269,5816
270,1586
271,5658
272,7831
273,2591
274,5458
275,2485
276,5013
277,2921
278,4867
279,3214
280,1739
281,8703
282,8501
283,707
284,4777
285,6744
286,3407
287,47
288,4587
289,6297
290,8181
291,4732
292,233
293,4509
294,3698
295,645
296,1540
297,3923
298,7317
299,6131
300,210
301,4744
302,4514
303,9956
304,1922
305,9225
306,2716
307,9172
308,4765
309,1353
310,5500
311,2718
312,6388
313,8448
314,702
315,7832
316,5346
317,7494
318,6680
319,8858
320,1633
321,8817
322,4981
323,6240
324,4060
325,916
326,2561
327,2804
328,2615
329,4403
330,3475
331,2801
332,9734
333,6321
334,6664
335,4366
336,7757
337,8540
338,56
339,5996
340,3990
341,6556
342,8199
343,1759
344,5002
345,2839
346,8341
347,8844
348,4414
349,147
350,2526
351,7879
352,563
353,3712
354,6785
355,1773
356,2090
357,4523
358,1033
359,1351
360,8036
361,3684
362,9854
363,6254
364,7074
365,2532
366,6780
367,1438
368,8628
369,2324
370,6528
371,5853
372,7525
373,4166
374,3415
375,5801
376,2332
377,8756
378,6203
379,2547
380,8150
381,7183
382,7158
383,5418
384,432
385,3153
386,5683
387,9118
388,8007
389,8135
390,8406
391,5477
392,1973
393,6121
394,7719
395,7218
396,517
397,6994
398,6074
399,120
400,2696
401,4076
402,7862
403,143
404,3541
405,8606
406,6645
407,4271
408,790
409,4725
410,281
411,5862
412,626
413,6461
414,3898
415,7693
416,2166
417,4248
418,8334
419,6701
420,1560
421,4752
422,6805
423,3871
424,3651
425,3376
426,4832
427,76
428,7390
429,2570
430,7827
431,4954
432,4453
433,8177
434,8039
435,5038
436,8985
437,8360
438,3857
439,5815
440,4445
441,189
442,2997
443,6936
444,5993
445,2799
446,1192
447,732
448,3372
449,3276
450,656
451,2911
452,9619
453,4529
454,3374
455,4064
456,2008
457,4541
458,5536
459,4294
460,8992
461,205
462,6751
463,5168
464,1812
465,9365
466,3635
467,7861
468,3444
469,8608
470,3109
471,9343
472,9716
473,435
474,4415
475,4073
476,3395
477,1721
478,4247
479,8454
480,7687
481,3858
482,2711
483,6503
484,2469
485,8965
486,2922
487,4240
488,4644
489,7445
490,422
491,7611
492,7796
493,6901
494,5585
495,6110
496,4857
497,5728
498,3232
499,9885
500,3083
501,4798
502,5447
503,6218
504,9860
505,3084
506,724
507,1572
508,5597
509,683
510,3236
511,2767
512,126
513,9567
514,8931
515,7339
516,3483
517,7103
518,2254
519,2827
520,3510
521,4342
522,4602
523,3961
524,4993
525,4594
526,7295
527,9001
528,9451
529,3220
530,843
531,2111
532,9091
533,1495
534,4621
535,3037
536,7990
537,5105
538,2501
539,2398
540,924
541,989
542,3023
543,405
544,8601
545,755
546,7287
547,9229
548,6200
549,6168
550,6520
551,704
552,3438
553,2213
554,1489
555,2155
556,1456
557,1157
558,2428
559,2765
560,4710
561,953
562,9392
563,1275
564,3912
565,7867
566,6650
567,5948
568,694
569,3081
570,1727
571,7838
572,5270
573,2608
574,2376
575,4751
576,3305
577,8460
578,315
579,789
580,7433
581,3116
582,3597
583,5629
584,1834
585,1512
586,8807
587,9582
588,2644
589,3559
590,1788
591,7851
592,7332
593,4332
594,8073
595,163
596,862
597,9189
598,5698
599,5722
600,6834
601,4915
602,2053
603,8816
604,1484
605,1600
606,9563
607,2389
608,2456
609,27
610,4025
611,3667
612,8290
613,6048
614,6767
615,1760
616,5233
617,1641
618,3392
619,1767
620,5087
621,2987
622,4015
623,5819
624,2281
625,7454
626,2002
627,176
628,7708
629,7776
630,1530
631,3103
632,4356
633,3491
634,357
635,2236
636,4116
637,7724
638,2333
639,690
640,8222
641,7881
642,4381
643,7800
644,4985
645,8170
646,6906
647,7088
648,5745
649,9983
650,9767
651,7097
652,1506
653,1751
654,2071
655,8452
656,2126
657,804
658,3468
659,8888
660,2042
661,396
662,3966
663,6700
664,9850
665,6154
666,9423
667,110
668,7770
669,7278
670,8294
671,8349
672,9152
673,2962
674,9768
675,4639
676,8440
677,2779
678,2649
679,8801
680,1444
681,8370
682,7986
683,5064
684,8762
685,1577
686,544
687,918
688,2567
689,968
690,895
691,2061
692,7538
693,489
694,7810
695,1755
696,4454
697,1122
698,6314
699,1453
700,2147
701,7202
702,7305
703,7060
704,4081
705,6934
706,3402
707,3620
708,7812
709,9711
710,6496
711,5163
712,3249
713,9232
714,1946
715,1989
716,6047
717,4138
718,3919
719,9654
720,4215
721,8179
722,4610
723,5239
724,3959
725,8138
726,138
727,4562
728,9408
729,6325
730,1078
731,7911
732,698
733,6222
734,9551
735,8288
736,6807
737,7007
738,573
739,253
740,3321
741,4510
742,6444
743,9827
744,9545
745,675
746,5734
747,8338
748,8553
749,8860
750,9880
751,7214
752,2077
753,1575
754,6327
755,6578
756,5035
757,5280
758,1723
759,9964
760,583
761,4599
762,7130
763,6384
764,3846
765,6615
766,8720
767,6963
768,6319
769,5680
770,9705
771,7983
772,106
773,2384
774,5583
775,6721
776,3287
777,3678
778,248
779,7638
780,3449
781,1921
782,3310
783,7490
784,3853
785,7310
786,9245
787,14
788,802
789,5195
790,5071
791,8246
792,370
793,9553
794,9667
795,3740
796,521
797,9862
798,4194
799,7729
800,6416
801,2022
802,2600
803,9275
804,814
805,6214
806,8082
807,7431
808,9082
809,3020
810,4047
811,4793
812,4313
813,9811
814,1385
815,8679
816,2888
817,9184
818,743
819,6050
820,559
821,1256
822,8508
823,3954
824,4277
825,5642
826,8284
827,9733
828,3691
829,2554
830,5777
831,6881
832,1259
833,5380
834,395
835,3747
836,3408
837,7162
838,8324
839,68
840,6708
841,5955
842,491
843,746
844,9260
845,1201
846,9974
847,6209
848,5567
849,5127
850,6224
851,4880
852,2149
853,5834
854,9227
855,4493
856,8822
857,8111
858,2692
859,925
860,7122
861,2177
862,2905
863,337
864,6113
865,7910
866,2849
867,9828
868,6257
869,4407
870,8163
871,4942
872,1224
873,8502
874,1197
875,8875
876,4044
877,8524
878,2460
879,2401
880,7885
881,8719
882,4171
883,9809
884,4800
885,6606
886,9960
887,7022
888,8034
889,1284
890,6135
891,5812
892,1803
893,2269
894,4517
895,2714
896,62
897,7519
898,5445
899,1982
900,7427
901,8624
902,4448
903,8642
904,2494
905,5203
906,3573
907,6769
908,5486
909,5726
910,2872
911,2431
912,9014
913,4521
914,2089
915,7907
916,9342
917,1603
918,2248
919,4877
920,6227
921,4874
922,9296
923,5577
924,1742
925,6931
926,2349
927,4903
928,5269
929,9220
930,4054
931,8873
932,7015
933,749
934,9045
935,9202
936,1040
937,2288
938,824
939,6964
940,519
941,8485
942,335
943,479
944,5320
945,5858
946,1868
947,3947
948,9071
949,6042
950,7374
951,4629
952,2656
953,957
954,3332
955,7172
956,8121
957,3926
958,5772
959,6198
960,8060
961,5023
962,4190
963,5796
964,298
965,6729
966,1854
967,2698
968,4392
969,2182
970,6678
971,5960
972,7308
973,7493
974,5649
975,1112
976,3838
977,3105
978,9373
979,4014
980,6174
981,8833
982,9029
983,5707
984,7707
985,1821
986,5643
987,2048
988,8195
989,7049
990,9121
991,9618
992,6136
993,691
994,9781
995,885
996,2622
997,6001
998,2249
999,6485
1000,351
1001,4223
1002,8769
1003,8437
1004,961
1005,4512
1006,8114
1007,7624
1008,8368
1009,3250
1010,1596
1011,5073
1012,2985
1013,5419
1014,2771
1015,8320
1016,9810
1017,7584
1018,4923
1019,5011
1020,7982
1021,4784
1022,3261
1023,1447
1024,350
1025,6089
1026,80
1027,5360
1028,2791
1029,5971
1030,2463
1031,1570
1032,2852
1033,5982
1034,4217
1035,7301
1036,7338
1037,7804
1038,4647
1039,5589
1040,3331
1041,7324
1042,3577
1043,883
1044,2721
1045,154
1046,7304
1047,2545
1048,1182
1049,5758
1050,811
1051,4850
1052,6828
1053,5789
1054,9136
1055,2990
1056,2390
1057,5327
1058,3781
1059,5859
1060,4289
1061,1686
1062,6379
1063,9346
1064,1403
1065,952
1066,9456
1067,2143
1068,858
1069,2385
1070,3243
1071,4301
1072,3641
1073,1213
1074,9075
1075,9287
1076,2253
1077,2629
1078,2890
1079,2994
1080,9867
1081,4372
1082,9988
1083,397
1084,1549
1085,3659
1086,3016
1087,6328
1088,8987
1089,4638
1090,8468
1091,9103
1092,932
1093,3145
1094,4598
1095,2172
1096,7352
1097,7886
1098,5703
1099,9634
1100,3113
1101,9535
1102,1154
1103,1670
1104,3328
1105,9055
1106,8487
1107,7093
1108,6511
1109,5628
1110,3730
1111,996
1112,3031
1113,3080
1114,7747
1115,1195
1116,4388
1117,7291
1118,1584
1119,7781
1120,5778
1121,252
1122,9599
1123,2197
1124,8570
1125,162
1126,4188
1127,597
1128,2515
1129,6163
1130,2973
1131,2136
1132,8337
1133,2833
1134,6018
1135,6302
1136,5545
1137,8799
1138,9791
1139,3520
1140,8497
1141,3259
1142,9448
1143,2612
1144,3696
1145,7733
1146,546
1147,498
1148,7797
1149,700
1150,8464
1151,3060
1152,7280
1153,985
1154,8929
1155,9684
1156,8416
1157,4916
1158,3489
1159,2104
1160,1377
1161,7801
1162,9319
1163,5448
1164,2935
1165,3671
1166,900
1167,3350
1168,273
1169,2335
1170,9542
1171,8528
1172,5301
1173,2523
1174,5721
1175,2027
1176,8424
1177,6980
1178,4910
1179,282
1180,2205
1181,5551
1182,994
1183,2346
1184,705
1185,9815
1186,1115
1187,1750
1188,5441
1189,3764
1190,9167
1191,3710
1192,1777
1193,8880
1194,9112
1195,5319
1196,4153
1197,7588
1198,1752
1199,5123
1200,7024
1201,7950
1202,5671
1203,2454
1204,5532
1205,4902
1206,9460
1207,8815
1208,3460
1209,7672
1210,8009
1211,2516
1212,9954
1213,4304
1214,1006
1215,2621
1216,1585
1217,2073
1218,322
1219,4492
1220,1004
1221,7762
1222,7615
1223,4753
1224,4218
1225,4439
1226,2110
1227,23
1228,8577
1229,4940
1230,2438
1231,9156
1232,8731
1233,1797
1234,9739
1235,7788
1236,4630
1237,6722
1238,6090
1239,1299
1240,4901
1241,6909
1242,5045
1243,6118
1244,8216
1245,3699
1246,7271
1247,8614
1248,4803
1249,5102
1250,2927
1251,6905
1252,8322
1253,6365
1254,8789
1255,9706
1256,2594
1257,6370
1258,417
1259,3913
1260,3679
1261,3057
1262,3610
1263,6004
1264,1672
1265,1116
1266,2966
1267,8917
1268,8447
1269,2014
1270,4802
1271,3115
1272,6290
1273,3473
1274,5994
1275,1220
1276,8554
1277,2758
1278,4952
1279,2899
1280,3175
1281,5150
1282,9538
1283,3102
1284,6811
1285,1636
1286,911
1287,3223
1288,6920
1289,990
1290,922
1291,5283
1292,9940
1293,7177
1294,5539
1295,9998
1296,1616
1297,4481
1298,2492
1299,6273
1300,1262
1301,2393
1302,3965
1303,6475
1304,4779
1305,3802
1306,4816
1307,415
1308,6618
1309,5010
1310,3721
1311,4513
1312,4037
1313,2604
1314,877
1315,5759
1316,1902
1317,2100
1318,4576
1319,7631
1320,4943
1321,5730
1322,2028
1323,8032
1324,5014
1325,3931
1326,2910
1327,7463
1328,8409
1329,6191
1330,4963
1331,6638
1332,1743
1333,2321
1334,2402
1335,1895
1336,8823
1337,3208
1338,94
1339,6282
1340,6383
1341,7477
1342,5135
1343,1817
1344,7963
1345,4515
1346,997
1347,1361
1348,6419
1349,7417
1350,5044
1351,9262
1352,7330
1353,7143
1354,5099
1355,3847
1356,3476
1357,8933
1358,7380
1359,9889
1360,2011
1361,3653
1362,5187
1363,1340
1364,6886
1365,2611
1366,6378
1367,609
1368,4700
1369,8434
1370,7186
1371,1494
1372,4152
1373,168
1374,2865
1375,2499
1376,3952
1377,4813
1378,6100
1379,4851
1380,8935
1381,8417
1382,2294
1383,332
1384,550
1385,6983
1386,6713
1387,4655
1388,7062
1389,6858
1390,3049
1391,1288
1392,2018
1393,3634
1394,8155
1395,2391
1396,1358
1397,4284
1398,9651
1399,1285
1400,6718
1401,9355
1402,7008
1403,9847
1404,9506
1405,9548
1406,8949
1407,629
1408,1372
1409,7754
1410,8097
1411,5939
1412,3160
