Rank,Card
1,5314
2,9905
3,7854
4,4119
5,4503
6,8316
7,5103
8,4181
9,6964
10,5937
11,7005
12,2131
13,3334
14,2533
15,1570
16,4065
17,205
18,6639
19,5247
20,6874
21,2718
22,4668
23,2066
24,6963
25,5361
26,4968
27,4161
28,4468
29,1732
30,7319
31,2367
32,4682
33,8177
34,9539
35,9084
36,6623
37,2204
38,8576
39,3723
40,9074
41,8039
42,2347
43,6632
44,1265
45,6188
46,907
47,234
48,3502
49,7593
50,221
51,2327
52,7186
53,3916
54,9519
55,796
56,7181
57,253
58,6206
59,3355
60,235
61,519
62,5728
63,9281
64,4709
65,8485
66,2448
67,9689
68,8294
69,7081
70,741
71,9312
72,5393
73,4540
74,2591
75,833
76,335
77,4470
78,1912
79,1827
80,8188
81,2727
82,5458
83,3674
84,262
85,1168
86,3158
87,4845
88,406
89,5415
90,7038
91,3947
92,6114
93,6758
94,9238
95,1194
96,9904
97,5268
98,3232
99,4147
100,1014
101,8313
102,2485
103,9537
104,7741
105,4574
106,219
107,973
108,4336
109,4849
110,5173
111,2846
112,3321
113,2743
114,5683
115,5949
116,966
117,8518
118,5038
119,8492
120,7296
121,3749
122,7686
123,9205
124,107
125,6939
126,8985
127,3248
128,9073
129,479
130,1550
131,8481
132,5013
133,5859
134,2921
135,3068
136,8180
137,2017
138,9859
139,3983
140,853
141,8986
142,7605
143,2586
144,4395
145,332
146,3206
147,6190
148,4289
149,6935
150,5959
151,9224
152,639
153,8794
154,2738
155,7143
156,6131
157,4408
158,1748
159,3717
160,8702
161,2852
162,8360
163,5295
164,3225
165,9071
166,4867
167,6042
168,3608
169,5099
170,4232
171,4268
172,2082
173,3291
174,8075
175,210
176,7421
177,2855
178,5855
179,4510
180,4744
181,7374
182,4629
183,9755
184,8923
185,7237
186,1361
187,8422
188,3477
189,9923
190,6319
191,9881
192,3214
193,1739
194,3847
195,6717
196,5179
197,6444
198,6419
199,8357
200,9922
201,7590
202,6751
203,2656
204,957
205,1962
206,9824
207,5680
208,5168
209,5876
210,683
211,8955
212,4509
213,1586
214,1686
215,3698
216,8559
217,8375
218,9481
219,264
220,9131
221,3785
222,722
223,9637
224,3516
225,6453
226,8330
227,1193
228,6379
229,9307
230,8103
231,645
232,7857
233,5923
234,3042
235,1888
236,284
237,7417
238,5064
239,8786
240,1494
241,6586
242,3857
243,1210
244,9779
245,7423
246,344
247,4859
248,8535
249,1103
250,3032
251,7772
252,7880
253,3405
254,9346
255,3441
256,1540
257,6574
258,261
259,3039
260,8457
261,4160
262,2629
263,6396
264,1744
265,7437
266,1812
267,8142
268,4514
269,5017
270,7435
271,3037
272,7178
273,1701
274,2637
275,4573
276,6730
277,4341
278,3476
279,8933
280,4807
281,7380
282,7574
283,8703
284,2265
285,4031
286,4389
287,115
288,2074
289,3681
290,3006
291,3356
292,6944
293,4637
294,1403
295,1200
296,7802
297,8195
298,9889
299,4418
300,6474
301,4592
302,2726
303,5630
304,3373
305,8934
306,9705
307,4103
308,9365
309,921
310,3773
311,7840
312,1505
313,3909
314,3889
315,844
316,8233
317,4847
318,2113
319,5503
320,8973
321,6012
322,7906
323,4004
324,6266
325,726
326,6670
327,8762
328,7298
329,2837
330,9390
331,1037
332,7737
333,8686
334,4603
335,7239
336,4818
337,3930
338,9836
339,3063
340,8501
341,6243
342,1310
343,2312
344,3840
345,1898
346,5733
347,6862
348,7701
349,6108
350,4642
351,6193
352,835
353,8448
354,5658
355,4052
356,8349
357,8020
358,8510
359,8150
360,1454
361,604
362,3635
363,2305
364,226
365,4331
366,1758
367,4152
368,5278
369,9459
370,7983
371,860
372,7182
373,7861
374,2421
375,9127
376,2776
377,856
378,4617
379,2890
380,8374
381,3096
382,3444
383,2915
384,1211
385,8878
386,2811
387,1691
388,952
389,6519
390,8608
391,989
392,3109
393,7049
394,2011
395,106
396,6044
397,1474
398,5312
399,3056
400,6329
401,308
402,865
403,9343
404,4311
405,707
406,4168
407,7613
408,5551
409,5660
410,1637
411,3653
412,3357
413,228
414,2531
415,733
416,3349
417,8281
418,7485
419,1011
420,3447
421,2672
422,6711
423,3222
424,9802
425,6720
426,5454
427,761
428,3236
429,6777
430,823
431,4411
432,5581
433,1302
434,2553
435,2770
436,9314
437,4843
438,9398
439,6721
440,6587
441,9503
442,9456
443,9135
444,9716
445,6853
446,6315
447,9894
448,5890
449,168
450,9686
451,3752
452,9835
453,3536
454,6584
455,994
456,3287
457,2452
458,8964
459,1323
460,2944
461,508
462,7591
463,1887
464,4743
465,2865
466,8687
467,435
468,3748
469,696
470,8425
471,6703
472,7376
473,2499
474,3397
475,9990
476,3718
477,4546
478,2384
479,4
480,2929
481,7891
482,3952
483,2107
484,5815
485,4121
486,5698
487,9217
488,3678
489,7990
490,4870
491,6988
492,6787
493,740
494,4761
495,7942
496,2894
497,9096
498,7547
499,2767
500,3370
501,550
502,2914
503,702
504,5474
505,3710
506,502
507,8396
508,9956
509,8534
510,7559
511,3023
512,2441
513,1577
514,2286
515,992
516,6165
517,349
518,256
519,2088
520,7832
521,2994
522,5078
523,6320
524,4691
525,2323
526,544
527,2174
528,2732
529,1459
530,8069
531,126
532,8905
533,4210
534,6622
535,614
536,2661
537,9039
538,7965
539,4415
540,4288
541,7914
