Rank,Card
1,5544
2,1370
3,442
4,2816
5,9256
6,675
7,606
8,7045
9,759
10,4521
11,9673
12,5679
13,5680
14,6980
15,6641
16,7776
17,814
18,5418
19,3464
20,8435
21,8425
22,338
23,7988
24,8199
25,8499
26,2142
27,5521
28,8444
29,1314
30,6929
31,2480
32,2635
33,9840
34,2894
35,9501
36,3212
37,5100
38,8476
39,9594
40,6397
41,9603
42,4939
43,8600
44,1646
45,740
46,574
47,6354
48,6972
49,8784
50,4293
51,7672
52,4850
53,2309
54,540
55,3673
56,9115
57,4275
58,4662
59,3335
60,8808
61,1023
62,461
63,1920
64,8185
65,2654
66,8941
67,7574
68,8585
69,3461
70,5012
71,8308
72,6794
73,3744
74,7834
75,6143
76,347
77,2996
78,2463
79,1342
80,9482
81,8901
82,1670
83,7533
84,7440
85,23
86,7020
87,7449
88,6314
89,3884
90,2203
91,2729
92,5216
93,6366
94,1240
95,3231
96,5613
97,9103
98,9348
99,9644
100,8441
101,9980
102,1159
103,7407
104,8647
105,8080
106,6730
107,9609
108,8961
109,4667
110,921
111,3618
112,4654
113,5108
114,9886
115,1417
116,6352
117,7688
118,9691
119,1979
120,2808
121,9295
122,7860
123,2062
124,154
125,521
126,5841
127,1907
128,6663
129,5656
130,8281
131,4849
132,6623
133,8786
134,1613
135,8403
136,9051
137,6855
138,6578
139,4348
140,4407
141,8774
142,9167
143,2336
144,9636
145,1784
146,6343
147,687
148,7262
149,111
150,9156
151,1689
152,3939
153,4861
154,7540
155,4490
156,5136
157,3009
158,8622
159,7348
160,616
161,1280
162,1380
163,5819
164,3679
165,605
166,5646
167,1762
168,5988
169,6344
170,6035
171,5323
172,6236
173,4463
174,9858
175,9339
176,4559
177,1811
178,4488
179,2990
180,6764
181,3034
182,9536
183,1311
184,3446
185,686
186,3113
187,9366
188,9715
189,2821
190,3779
191,8555
192,6059
193,8514
194,2757
195,6291
196,1568
197,6943
198,8547
199,5630
200,6207
201,2230
202,3051
203,6935
204,2885
205,8248
206,99
207,6931
208,589
209,56
210,7654
211,6642
212,337
213,8606
214,9586
215,967
216,3229
217,2901
218,1682
219,690
220,3934
221,341
222,4025
223,1456
224,425
225,2858
226,8662
227,8489
228,7085
229,464
230,626
231,9128
232,7072
233,6278
234,3900
235,353
236,3689
237,4823
238,5052
239,8351
240,6094
241,9279
242,548
243,1958
244,6210
245,8100
246,5805
247,7180
248,408
249,3281
250,7875
251,9552
252,7837
253,8287
254,7554
255,5471
256,851
257,6589
258,8068
259,8571
260,5485
261,1713
262,2659
263,8681
264,1340
265,8229
266,8325
267,421
268,4376
269,7538
270,2983
271,4675
272,5606
273,9789
274,5718
275,1722
276,6098
277,1768
278,2680
279,6987
280,6087
281,8333
282,4798
283,3207
284,9925
285,7835
286,9511
287,2232
288,7570
289,7865
290,1421
291,2408
292,5372
293,2769
294,3276
295,4873
296,6665
297,5379
298,8077
299,6257
300,9556
301,6389
302,4379
303,5180
304,8677
305,1386
306,3877
307,7181
308,481
309,2985
310,8741
311,1559
312,5278
313,1180
314,1391
315,3418
316,8956
317,5569
318,7284
319,7419
320,7808
321,5953
322,1341
323,2167
324,9472
325,2727
326,5691
327,524
328,7909
329,2123
330,478
331,9245
332,1018
333,8342
334,5016
335,829
336,9991
337,2435
338,2626
339,4627
340,3846
341,5842
342,469
343,3292
344,7951
345,4770
346,1423
347,181
348,6433
349,6451
350,9389
351,4260
352,3216
353,7275
354,6711
355,6952
356,2315
357,5275
358,9532
359,7416
360,7627
361,3378
362,8252
363,7276
364,6701
365,7759
366,7442
367,3843
368,6559
369,9234
370,2790
371,8836
372,1428
373,1492
374,5462
375,9698
376,6717
377,5784
378,7943
379,3392
380,2099
381,1962
382,1281
383,441
384,1027
385,4032
386,793
387,7353
388,3111
389,2947
390,1430
391,4776
392,840
393,894
394,220
395,4762
396,1177
397,6872
398,6009
399,8096
400,3310
401,2355
402,3429
403,1797
404,3562
405,8324
406,4138
407,9284
408,1904
409,5128
410,5831
411,5790
412,1006
413,5622
414,7264
415,2668
416,6192
417,9415
418,5228
419,1378
420,5317
421,3944
422,320
423,5699
424,4550
425,7364
426,6849
427,8149
428,7103
429,2240
430,8468
431,3724
432,3354
433,8717
434,9727
435,9233
436,4332
437,1276
438,1200
439,4449
440,7381
441,1042
442,4497
443,9932
444,9831
445,6516
446,6462
447,3090
