Rank,Card
1,6035
1,10237
1,2559
1,10081
1,3545
1,8360
1,6003
1,8826
1,12082
1,210
1,12233
1,1079
1,468
1,10156
1,19292
1,7975
17,2466
18,11297
19,674
20,3993
21,8522
22,3671
23,7938
24,6895
25,7149
26,3349
27,1558
28,5958
29,10701
30,10375
31,15521
32,11227
33,2694
34,15144
35,12386
36,4841
37,7853
38,9325
39,9364
40,15613
41,15535
42,7047
43,1643
44,15445
45,15113
46,9652
47,2729
48,7187
49,5511
50,9972
51,3849
52,15112
53,15593
54,11699
55,9721
56,1445
57,5331
58,2412
59,9017
60,1734
61,3913
62,15173
63,7773
64,3202
65,9508
66,9795
67,3957
68,4448
69,15254
70,15719
71,8949
72,3524
73,4436
74,8990
75,9105
76,15904
77,15937
78,6530
79,6725
80,2057
81,5334
82,8006
83,15964
84,15855
85,11497
86,12289
87,314
88,10107
89,7018
90,3250
91,9500
92,6586
93,12004
94,11964
95,40
96,2061
97,4494
98,15056
99,15525
100,6338
101,2999
102,4918
103,1577
104,7356
105,1685
106,15032
107,11247
108,7108
109,10722
110,393
111,3818
112,9064
113,12433
114,799
115,5368
116,4620
117,11569
118,8312
119,15033
120,15117
121,15346
122,4792
123,8683
124,12164
125,8278
126,2237
127,347
128,3914
129,4564
130,9225
131,10911
132,8398
133,7960
134,2428
135,2066
136,9307
137,8431
138,15197
139,4506
140,5041
141,15168
142,2841
143,889
144,2936
145,7651
146,15810
147,4893
148,15398
149,7439
150,7267
151,15627
152,15577
153,7335
154,2340
155,390
156,10462
157,3086
158,11095
159,3170
160,8613
161,4380
162,15169
163,4641
164,6157
165,4589
166,1707
167,4794
168,12377
169,5924
170,11627
171,7821
172,8932
173,2215
174,15864
175,576
176,5592
177,7638
178,7734
179,5857
180,7368
181,4640
182,10046
183,7026
184,15639
185,12304
186,8184
187,1234
188,5044
189,2828
190,5260
191,482
192,8671
193,5280
194,5237
195,8109
196,291
197,8936
198,8899
199,379
200,8604
201,5799
202,6564
203,15176
204,12409
205,8749
206,175
207,9536
208,11821
209,934
210,3741
211,3847
212,650
213,11406
214,4270
215,1314
216,1911
217,4475
218,2687
219,15494
220,1654
221,3516
222,12180
223,936
224,47
225,9950
226,15537
227,2851
228,15392
229,5818
230,407
231,1106
232,5171
233,7912
234,2286
235,3468
236,8119
237,1470
238,7622
239,11191
240,3840
241,5113
242,3729
243,10003
244,1064
245,15092
246,11875
247,2516
248,1691
249,1934
250,2671
251,7797
252,9420
253,9792
254,15111
255,2016
256,7166
257,15579
258,10425
259,8554
260,6289
261,8805
262,6066
263,736
264,7062
265,6652
266,1070
267,7809
268,604
269,8704
270,12365
271,6366
272,10913
273,3519
274,9493
275,11101
276,5780
277,8086
278,8260
279,3798
280,2807
281,10364
282,9333
283,8939
284,466
285,15150
286,3318
287,3557
288,5410
289,15713
290,7984
291,9399
292,1247
293,7857
294,3664
295,10655
296,2725
297,3340
298,359
299,15974
300,8742
301,15375
302,12223
303,11453
304,3127
305,7504
306,4094
307,1170
308,15248
309,10585
310,11893
311,1705
312,6839
313,12307
314,3716
315,2437
316,11500
317,1034
318,15826
319,6745
320,11791
321,4459
322,11582
323,7499
324,880
325,10842
326,8042
327,7561
328,9072
329,3575
330,9449
331,6381
332,4133
333,11587
334,4404
335,1131
336,2288
337,104
338,4012
339,4539
340,5184
341,5015
342,2538
343,10523
344,4719
345,5106
346,7296
347,1762
348,9730
349,15148
350,9516
351,4950
352,9269
353,6921
354,5975
355,649
356,9650
357,15154
358,10241
359,11632
360,7373
361,4419
362,5420
363,15931
364,15451
365,7730
366,6965
367,3807
368,10831
369,10582
370,2300
371,5405
372,15986
373,1582
374,2285
375,7061
376,7706
377,9030
378,722
379,9144
380,11842
381,3544
382,417
383,2563
384,11695
385,4888
386,9005
387,611
388,4216
389,15498
390,7170
391,2697
392,3342
393,4535
394,1745
395,15263
396,7227
397,8402
398,8588
399,9226
400,3891
401,10600
402,10547
403,10916
404,4305
405,4862
406,8659
407,15447
408,15917
409,12051
410,6623
411,7849
412,15023
413,6258
414,5646
415,3377
416,2329
417,3565
418,9687
419,5645
420,15071
421,6696
422,1744
423,6303
424,11951
425,15759
426,10825
427,1826
428,15574
429,4643
430,9713
431,3774
432,12465
433,10801
434,15352
435,15893
436,4005
437,10405
438,800
439,10124
440,5917
441,15285
442,15828
443,106
444,11907
445,10378
446,6020
447,15204
448,16039
449,8614
450,811
451,3288
452,7341
453,11231
454,422
455,2660
456,11043
457,8901
458,1119
459,15203
460,10526
461,11373
462,1833
463,754
464,9978
465,16022
466,11551
467,6912
468,15366
469,11515
470,8295
471,7240
472,3011
473,2869
474,6850
475,2353
476,1681
477,8872
478,7603
479,11614
480,15919
481,10023
482,3940
483,10798
484,11151
485,893
486,15861
487,7176
488,8814
489,3357
490,5638
491,8591
492,15476
493,12301
494,8247
495,5376
496,8111
497,1334
498,8984
499,7274
500,12479
501,792
502,875
503,15530
504,2387
505,9071
506,4626
507,5046
508,3149
509,2181
510,4735
511,10616
512,8768
513,4198
514,6318
515,3021
516,9086
517,4431
518,6477
519,11639
520,8283
521,15722
522,713
523,11508
524,11811
525,4153
526,11299
527,11392
528,5898
529,111
530,5528
531,11460
532,5886
533,1953
534,2815
535,15649
536,6593
537,15729
538,3656
539,15468
540,8239
541,8783
542,15116
543,3324
544,8378
545,11080
546,10067
547,5250
548,1241
549,9729
550,517
551,15748
552,2797
553,8773
