Rank,Card
1,666
2,1903
3,1953
4,9999
5,925
6,11
7,1519
8,999
9,888
10,714
11,8888
12,10000
13,1969
14,111
15,88
16,100
17,1
18,10
19,1111
20,1000
21,8
22,1123
23,630
24,2311
25,2016
26,3902
27,8204
28,6882
29,4889
30,4642
31,1177
32,4380
33,6569
34,3385
35,6005
36,1484
37,9685
38,7542
39,6022
40,6143
41,2513
42,6723
43,7393
44,4375
45,7512
46,9227
47,4732
48,8820
49,6045
50,9547
51,5875
52,4679
53,7702
54,4672
55,5141
56,8298
57,9917
58,5047
59,9172
60,7546
61,7963
62,46
63,6885
64,2204
65,5007
66,7443
67,8816
68,2332
69,1138
70,3080
71,5912
72,8725
73,7610
74,8979
75,5590
76,5687
77,2663
78,6100
79,3716
80,2371
81,4100
82,1053
83,8077
84,8129
85,1526
86,2443
87,3335
88,4062
89,9728
90,7732
91,4644
92,8616
93,2143
94,2321
95,6775
96,9876
97,6599
98,7486
99,7383
100,4052
101,7560
102,113
103,8167
104,1535
105,5087
106,3456
107,2782
108,859
109,9054
110,7223
111,7426
112,541
113,4286
114,4800
115,5823
116,2044
117,490
118,5910
119,6805
120,2541
121,5336
122,3827
123,9396
124,1609
125,6737
126,8413
127,5333
128,9327
129,5928
130,5902
131,8956
132,381
133,2898
134,43
135,8713
136,727
137,3326
138,772
139,7302
140,5065
141,5638
142,2249
143,188
144,8376
145,5244
146,9780
147,3748
148,7937
149,2448
150,7757
151,3461
152,8885
153,2811
154,4258
155,7292
156,5046
157,6912
158,627
159,816
160,8782
161,4874
162,9548
163,4923
164,9382
165,9295
166,3342
167,8875
168,6055
169,8663
170,786
171,7336
172,1386
173,9426
174,3121
175,5828
176,9939
177,7495
178,3766
179,4731
180,332
181,3906
182,3546
183,5339
184,4913
185,1689
186,6871
187,2886
188,5382
189,1490
190,9022
191,161
192,8971
193,2551
194,8563
195,7571
196,6624
197,5146
198,6542
199,2370
200,3310
201,5435
202,9922
203,8762
204,8517
205,9321
206,5817
207,7281
208,4382
209,9565
210,8007
211,3196
212,9686
213,515
214,6831
215,2582
216,9473
217,8759
218,6372
219,9955
220,6470
221,4311
222,5803
223,1632
224,6940
225,3151
226,558
227,1081
228,9864
229,2644
230,9839
231,6686
232,3369
233,5395
234,6010
235,7007
236,3666
237,7785
238,9283
239,5818
240,5365
241,159
242,8027
243,2407
244,3754
245,6476
246,8144
247,7969
248,1568
249,8034
250,8159
251,8357
252,5445
253,5051
254,9759
255,445
256,6064
257,2232
258,7941
259,2732
260,3388
261,1755
262,2659
263,5164
264,2799
265,1224
266,501
267,9964
268,1678
269,5680
270,6559
271,3002
272,2894
273,4715
274,2583
275,8878
276,7627
277,1725
278,4712
279,6029
280,2768
281,3305
282,2338
283,7175
284,6319
285,9280
286,4585
287,9365
288,8438
289,1840
290,6907
291,6729
292,6996
293,4630
294,1870
295,4334
296,1793
297,7438
298,8766
299,6870
300,3625
301,9631
302,6290
303,3711
304,3998
305,3933
306,7176
307,1974
308,7945
309,4212
310,5668
311,4741
312,9825
313,3984
314,510
315,9575
316,5493
317,9811
318,4086
319,3118
320,6665
321,7898
322,1243
323,8863
324,7034
325,7050
326,2895
327,4982
328,7102
329,3372
330,452
331,2925
332,8294
333,8110
334,1871
335,2245
336,6683
337,7765
338,5652
339,1211
340,7183
341,7691
342,1917
343,529
344,1741
345,6344
346,6411
347,5909
348,7062
349,8690
350,5327
351,1231
352,4177
353,152
354,6070
355,6110
356,1004
357,3945
358,478
359,9507
360,9165
361,6471
362,4781
363,9324
364,343
365,7776
366,6824
367,1991
368,6436
369,6739
370,9714
371,6752
372,9471
373,142
374,967
375,610
376,6540
377,827
378,7318
379,6968
380,3345
381,9734
382,5657
383,8926
384,1399
385,3408
386,1635
387,1080
388,5640
389,7613
390,6922
391,5621
392,1341
393,621
394,4417
395,5
396,2805
397,34
398,5398
399,2529
400,3899
401,5450
402,251
403,268
404,6634
405,5391
406,2701
407,7194
408,8451
409,9305
410,5131
411,8088
412,2263
413,473
414,1085
415,5554
416,3957
417,4737
418,9407
419,2334
420,23
421,1076
422,4274
423,2141
424,6414
425,3564
426,1817
427,4018
428,8213
429,575
430,359
431,2284
432,2120
433,9665
434,3264
435,7108
436,1409
437,85
438,5936
439,767
440,4020
441,2906
442,4528
443,9306
444,258
445,1017
446,7006
447,1574
448,8006
449,8560
450,487
451,6198
452,9725
453,4487
454,2885
455,517
456,6162
457,4601
458,1835
459,9069
460,469
461,5812
462,7719
463,8955
464,3733
465,3347
466,528
467,8626
468,9815
469,4951
470,3432
471,6836
472,5187
473,8960
474,2865
475,2928
476,9699
477,8573
478,5982
479,1108
480,5724
481,409
482,6337
483,7299
484,2913
485,5800
486,9568
487,8957
488,3292
489,1133
490,5314
491,5025
492,7799
493,7621
494,3623
495,916
496,4579
497,5958
498,1960
499,1669
500,8819
501,2264
502,8682
503,7633
504,22
505,5378
506,1587
507,6057
508,3167
509,3214
510,8942
511,6240
512,6971
513,1955
514,4420
515,8067
516,8607
517,9523
518,9121
519,2239
520,2755
521,3087
522,1572
523,4829
524,7917
525,8018
526,6954
527,1530
528,9751
529,29
530,668
531,3753
532,6944
533,3996
534,6054
535,9526
536,1674
537,7782
538,8335
539,6901
540,9079
541,344
542,4041
543,6541
544,1089
545,8873
546,2212
547,8832
548,3598
549,9720
550,1242
551,6210
552,2606
553,55
554,1293
555,1152
556,5571
557,2365
558,4195
559,7595
560,4817
561,1087
562,9995
563,2950
564,9916
565,4079
566,435
567,577
568,2545
569,9836
570,690
571,5452
572,3916
573,8577
574,1451
575,1786
576,1851
577,7803
578,1676
579,6387
580,2808
581,4887
582,7077
583,1482
584,1447
585,382
586,6068
587,8098
588,7378
589,7565
590,1515
591,7431
592,342
593,2917
594,9249
595,2038
596,6786
597,6994
598,698
599,3692
600,6432
601,2728
602,9708
603,3960
604,6704
605,9052
606,9767
607,4580
608,928
609,9614
610,7148
611,133
612,6822
613,6495
614,6028
615,902
616,7144
617,8453
618,8219
619,964
620,6538
621,2145
622,3635
623,9205
624,1905
625,5857
626,638
627,7699
628,3531
629,281
630,3362
631,9348
632,847
633,8415
634,5368
635,3758
636,5409
637,6727
638,3273
639,1258
640,8270
641,5785
642,1279
643,2716
644,1326
645,226
646,3497
647,239
648,3353
649,6445
650,4146
651,531
652,2887
653,8417
654,9962
655,3336
656,5825
657,9710
658,1148
659,9099
660,4945
661,5338
662,4330
663,1460
664,9773
665,6679
666,1181
667,5896
668,7737
669,7887
670,8242
671,3522
672,1141
673,484
674,5837
675,9397
676,6066
677,6438
678,2873
679,9461
680,2796
681,4937
682,4010
683,6213
684,7624
685,5498
686,5090
687,2753
688,1731
689,6349
690,6869
691,4674
692,6828
693,6439
694,96
695,5821
696,4521
697,8349
698,6128
699,9254
700,9533
701,601
702,9993
703,6674
704,481
705,9624
706,5246
707,7093
708,9683
709,2281
710,5900
711,3726
712,4156
713,2923
714,7518
715,8747
716,4901
717,6769
718,2096
719,3243
720,2078
721,1398
722,2726
723,3288
724,5988
725,4614
726,9173
727,3873
728,2046
729,2930
730,2039
731,1457
732,6530
733,213
734,8153
735,6561
736,1276
737,8654
738,9666
739,1712
740,1645
741,7988
742,866
743,7870
744,8141
745,7368
746,9373
747,7678
748,6035
749,1682
750,4087
751,3668
752,9091
753,3715
754,693
755,6396
756,8827
757,1761
758,5751
759,5651
760,5535
761,2787
762,7588
763,9487
764,3942
765,3460
766,9182
767,2562
768,9340
769,3208
770,6286
771,9460
772,4803
773,6718
774,5587
775,5432
776,2769
777,9756
778,6296
779,3965
780,366
781,3014
782,8549
783,9718
784,6013
785,7307
786,8973
787,7797
788,4611
789,8742
790,3697
791,923
792,1221
793,852
794,9030
795,5469
796,4777
797,2522
798,3735
799,5943
800,566
801,4462
802,8436
803,4239
804,6283
805,2220
806,8138
807,2300
808,5232
809,1003
810,6004
811,7712
812,6388
813,7653
814,8738
815,7625
816,9496
817,4590
818,6335
819,6684
820,8256
821,7356
822,1443
823,576
824,9534
825,404
826,5795
827,6919
828,346
829,7686
830,3153
831,3189
832,3918
833,760
834,2089
835,7816
836,5704
837,6112
838,8533
839,7207
840,4302
841,1757
842,6933
843,1294
844,9511
845,2521
846,8823
847,1650
848,2593
849,4727
850,1272
851,4110
852,5033
853,4676
854,8893
855,9074
856,2258
857,2632
858,2470
859,4280
860,7479
861,5758
862,4463
863,660
864,8867
865,4390
866,7474
867,8428
868,5328
869,7504
870,9080
871,6753
872,9284
873,2670
874,1162
875,3769
876,5695
877,8743
878,8578
879,63
880,4632
881,1273
882,3117
883,3508
884,7987
885,3490
886,2033
887,7877
888,9833
889,5798
890,333
891,9354
892,8519
893,2225
894,7554
895,5315
896,691
897,2429
898,8251
899,3361
900,7338
901,9560
902,4374
903,3909
904,722
905,5613
906,3603
907,2328
908,4132
909,2531
910,4497
911,5882
912,3215
913,2625
914,3479
915,1938
916,667
917,8530
918,4878
919,196
920,5443
921,1417
922,7753
923,7153
924,8480
925,5089
926,4529
927,9444
928,4205
929,2599
930,9369
931,6537
932,42
933,5558
934,4792
935,365
936,9783
937,2017
938,4266
939,5688
940,4027
941,8056
942,2921
943,7010
944,8990
945,474
946,9132
947,1095
