rank,card
1,7912
2,4055
3,8450
4,1174
5,1824
6,4201
7,8689
8,8518
9,8678
10,3730
11,778
12,8792
13,4012
14,9246
15,3621
16,5758
17,3698
18,1166
19,7140
20,8054
21,5581
22,7835
23,6768
24,6074
25,9239
26,876
27,287
28,5825
29,8979
30,7539
31,5627
32,7255
33,6780
34,8629
35,4102
36,7032
37,7334
38,2109
39,5410
40,8794
41,5387
42,4496
43,8280
44,9244
45,7755
46,2633
47,2303
48,1140
49,5701
50,7037
51,8264
52,6503
53,6477
54,2368
55,5368
56,9366
57,5018
58,7368
59,4521
60,5504
61,7651
62,5215
63,6599
64,8560
65,8739
66,9731
67,4374
68,962
69,4652
70,9495
71,615
72,2268
73,8539
74,2002
75,1667
76,2868
77,9598
78,9477
79,6443
80,6348
81,9827
82,5837
83,4092
84,1421
85,2744
86,6665
87,7843
88,9758
89,5328
90,9413
91,1353
92,207
93,7642
94,3204
95,4017
96,5092
97,419
98,3964
99,3373
100,3193
101,5007
102,9491
103,2468
104,1819
105,6388
106,9593
107,9016
108,5401
109,7996
110,9984
111,8749
112,5713
113,7054
114,3990
115,1680
116,3988
117,9415
118,9048
119,3473
120,8517
121,1530
122,4376
123,648
124,5143
125,1526
126,238
127,4947
128,721
129,1098
130,9177
131,3270
132,5450
133,902
134,1288
135,2846
136,5330
137,3022
138,9871
139,7155
140,552
141,2742
142,6572
143,8139
144,2149
145,8273
146,3605
147,3507
148,2196
149,789
150,3182
151,6575
152,4869
153,3083
154,9343
155,3760
156,8735
157,7679
158,3884
159,9773
160,6949
161,2654
162,6448
163,4183
164,5733
165,384
166,5695
167,6701
168,8660
169,1968
170,8325
171,208
172,5615
173,9581
174,6912
175,6718
176,568
177,3383
178,6200
179,4076
180,1124
181,579
182,3594
183,3314
184,7473
185,3527
186,7800
187,4960
188,1752
189,2842
190,4128
191,1348
192,8207
193,9279
194,3281
195,8062
196,2358
197,3124
198,3004
199,8799
200,6796
201,3331
202,8206
203,4195
204,7885
205,614
206,5084
207,8822
208,4523
209,1977
210,1246
211,4027
212,7928
213,6668
214,4961
215,4826
216,4757
217,5920
218,8072
219,4992
220,5167
221,9783
222,3740
223,7108
224,5678
225,8857
226,3033
227,1741
228,4878
229,3808
230,5512
231,8584
232,3588
233,6805
234,5680
235,5365
236,2824
237,3519
238,9221
239,1904
240,9352
241,1940
242,7693
243,8925
244,8526
245,3252
246,5208
247,7373
248,7378
249,813
250,9875
251,9837
252,3946
253,1783
254,5395
255,5071
256,4994
257,3040
258,1754
259,7594
260,8671
261,7910
262,5852
263,3890
264,4079
265,1625
266,2045
267,5631
268,2508
269,6887
270,5439
271,241
272,5714
273,8950
274,712
275,182
276,6739
277,6353
