Rank,Card
1,5120
2,3342
3,5387
4,3868
5,6139
6,1108
7,7979
8,7473
9,2040
10,247
11,8258
12,3154
13,9369
14,3069
15,3446
16,7651
17,828
18,5024
19,28
20,9652
21,4961
22,8489
23,2833
24,6033
25,2368
26,3520
27,6187
28,9886
29,8535
30,1602
31,7138
32,7044
33,9480
34,9813
35,2284
36,9416
37,73
38,2227
39,2871
40,8460
41,4382
42,7113
43,3378
44,6987
45,4497
46,3878
47,2770
48,2975
49,8286
50,7406
51,5165
52,936
53,77
54,684
55,4838
56,6869
57,5200
58,2980
59,5464
60,6842
61,9888
62,5268
63,1890
64,1166
65,7284
66,6163
67,5527
68,8147
69,1641
70,7701
71,8266
72,7765
73,802
74,9547
75,1645
76,2105
77,4176
78,8027
79,4319
80,7693
81,2829
82,4722
83,1629
84,8737
85,3766
86,7457
87,8221
88,7329
89,3562
90,4022
91,3021
92,9814
93,2482
94,1599
95,1301
96,6450
97,7925
98,6993
99,9196
100,6392
101,425
102,98
103,4058
104,9637
105,9574
106,9602
107,7139
108,2866
109,677
110,1943
111,7161
112,9321
113,8069
114,7822
115,8584
116,2427
117,8548
118,3225
119,4124
120,4679
121,9126
122,6749
123,7661
124,3841
125,3136
126,3263
127,9789
128,5057
129,9300
130,2853
131,8730
132,1633
133,2425
134,6671
135,5186
136,6590
137,29
138,9193
139,1165
140,976
141,8851
142,3837
143,8809
144,1369
145,8065
146,411
147,7642
148,1390
149,7921
150,1149
151,3353
152,3950
153,4586
154,1620
155,9252
156,1504
157,3666
158,4429
159,3232
160,4916
161,8510
162,5390
163,3152
164,979
165,5458
166,2011
167,9456
168,795
169,2906
170,1157
171,6521
172,2847
173,880
174,9052
175,3211
176,9386
177,3877
178,570
179,2441
180,959
181,9400
182,389
183,6377
184,6751
185,3894
186,8313
187,8978
188,1528
189,7053
190,4128
191,6760
192,4024
193,1083
194,8043
195,7150
196,476
197,3472
198,4281
199,7686
200,7327
201,2228
202,2464
203,2375
204,4531
205,253
206,6334
207,3366
208,5370
209,5949
210,5005
211,8137
212,1318
213,8920
214,8373
215,1027
216,3361
217,3982
218,746
219,2880
220,4461
221,4813
222,6833
223,7697
224,617
225,6505
226,2965
227,3525
228,7913
229,2021
230,5607
231,7674
232,4149
233,2701
234,7356
235,711
236,178
237,1457
238,633
239,3679
240,6277
241,1127
242,27
243,6874
244,6064
245,5429
246,3844
247,5277
248,9091
249,8587
250,3850
251,2445
252,4415
253,3387
254,1841
255,2925
256,142
257,6683
258,1718
259,2759
260,1831
261,2002
262,3125
263,7662
264,3513
265,7499
266,4688
267,3898
268,5095
269,4356
270,6649
271,4388
272,6154
273,7869
274,7137
275,5930
276,7831
277,2653
278,9375
279,9782
280,6755
281,4955
282,7614
283,965
284,6952
285,6957
286,3972
287,7124
288,7467
289,6374
290,6441
291,6618
292,2972
293,3920
294,4790
295,3642
296,8610
297,7232
298,3628
299,8619
300,356
301,3313
302,6950
303,5469
304,415
305,3117
306,8804
307,6535
308,2232
309,9409
310,9309
311,5270
312,2751
313,8180
314,9667
315,8078
316,5537
317,7967
318,364
319,4850
320,3584
321,9425
322,195
323,1163
324,3803
325,5084
326,7805
327,5710
328,5328
329,2243
330,6878
331,4871
332,2551
333,7196
334,2410
335,6844
336,4487
337,3490
338,2623
339,340
340,6772
341,8791
342,4907
343,2250
344,3162
345,1449
346,7515
347,2590
348,2133
349,2422
350,8452
351,3901
352,706
353,1532
354,4763
355,7902
356,8409
357,2353
358,8527
359,9163
360,9143
361,9191
362,8398
363,4501
364,2502
365,5
366,2041
367,8376
368,904
369,9804
370,5487
371,5752
372,6022
373,9431
374,3708
375,94
376,5453
377,7411
378,4780
379,3835
380,5434
381,2863
382,2350
383,7296
384,596
385,6347
386,7492
387,2889
388,1208
389,4431
390,7001
391,9135
392,5422
393,7123
394,556
395,8457
396,3845
397,3644
398,9939
399,5242
400,8132
401,579
402,2106
403,4402
404,7336
405,7927
406,7171
407,3938
408,6106
409,3120
410,8208
411,2585
412,3462
413,5000
414,4419
415,8668
416,6
417,3891
418,5420
419,4106
420,2712
421,4264
422,2344
423,3997
424,4856
425,4432
426,6498
427,1489
428,1665
429,4213
430,7391
431,7771
432,5837
433,3172
434,4081
435,3594
436,7141
437,1116
438,8142
439,1937
440,1286
441,8324
442,8215
443,206
444,7004
445,3454
446,7510
447,7897
448,2229
449,2380
450,6363
451,5535
452,3340
453,1696
454,9179
455,9185
456,6086
457,5739
458,5747
459,1049
460,3836
461,9816
462,6631
463,6656
464,9853
465,9696
466,6553
467,9090
468,7525
469,4558
470,9171
471,2681
472,6162
473,6888
474,2766
475,3204
476,5011
477,4212
478,4066
479,3012
480,1006
481,3248
482,2994
483,8191
484,5749
485,6945
486,9867
487,5667
488,3717
489,7956
490,9287
491,3658
492,3670
493,5043
494,2166
495,2535
496,3886
497,6111
498,9710
499,3640
500,2855
501,7879
502,259
503,5597
504,3326
505,3187
506,6447
507,7755
508,4054
509,9767
510,3208
511,225
512,7842
513,3434
514,6296
515,8936
516,6430
517,7266
518,5966
519,3436
520,9471
521,3424
522,6630
523,1294
524,42
525,95
526,1114
527,3808
528,7827
529,7027
530,236
531,658
532,6846
533,6031
534,6307
535,5499
536,8934
537,4724
538,2155
539,8719
540,7035
541,97
542,9330
543,1079
544,3420
545,6432
546,1033
547,3797
548,7702
549,8025
550,8202
551,5156
552,5457
553,159
554,1389
555,5285
556,2262
557,4870
558,7136
559,9285
560,8341
561,8762
562,2313
563,8339
564,5308
565,9315
566,9184
567,438
568,8283
569,4678
570,6817
571,4041
572,8795
573,8195
574,4036
575,3489
576,4606
577,5672
578,2047
579,5611
580,605
581,4308
582,7553
583,5775
584,6087
585,7379
586,116
587,685
588,7949
589,3952
590,862
591,164
592,4390
593,5819
594,3964
595,9331
596,5879
597,8711
598,3180
599,9055
600,1111
601,1891
602,3312
603,7375
604,2303
605,5519
606,9995
607,9646
608,4578
609,603
610,3221
611,1050
612,6203
613,6698
614,460
615,9158
616,1264
617,2844
618,6702
619,7745
620,3414
621,7872
622,5679
623,9857
624,1128
625,2498
626,232
627,3779
628,9365
629,5213
630,8529
631,6831
632,7542
633,417
634,6399
635,5757
636,3912
637,342
638,2390
639,2934
640,5088
641,4256
642,1290
643,5371
644,463
645,3634
646,5815
647,6337
648,8832
649,9511
650,179
651,2351
652,5173
653,2688
654,6791
655,6974
656,5407
657,6990
658,4667
659,5144
660,1918
661,9333
662,1403
663,8461
664,1808
665,5447
666,1634
667,9878
668,4980
669,371
670,9672
671,5526
672,3468
673,9760
674,3092
675,8933
676,1660
677,3522
678,1778
679,9394
680,634
681,7903
682,3087
683,7600
684,1729
685,3159
686,5246
687,6776
688,6262
689,2515
690,2005
691,5304
692,2818
693,3307
694,4063
695,7709
696,7750
697,2605
698,1115
699,2904
700,3741
701,7746
702,1160
703,5133
704,6536
705,922
706,3698
707,7354
708,5838
709,2598
710,9527
711,4659
712,9360
713,2399
714,2450
715,9427
716,2394
717,4786
718,3377
719,1059
720,6157
721,8269
722,913
723,2035
724,4569
725,132
726,3862
727,144
728,1805
729,9133
730,5389
731,9639
732,8070
733,2954
734,2358
735,4215
736,1406
737,8442
738,3783
739,6891
740,8233
741,575
742,9968
743,1531
744,1497
745,6223
746,6092
747,8392
748,1854
749,9946
750,9298
751,6959
752,4007
753,6533
754,2287
755,5647
756,53
757,2795
758,5428
759,9344
760,2179
761,2580
762,4754
763,7669
764,3425
765,9429
766,7547
767,8241
768,8077
769,5087
770,21
771,1441
772,5218
773,2365
774,4959
775,440
776,8210
777,9681
778,8148
779,8706
780,1096
781,4752
782,2747
783,5892
784,4495
785,5278
786,2014
787,9319
788,9106
789,7941
790,4163
791,7447
792,7160
793,472
794,5302
795,305
796,6295
797,365
798,2734
799,2836
800,9570
801,4017
802,3664
803,9690
804,9640
805,6907
806,6715
807,2386
808,7497
809,1678
810,3979
811,8310
812,3967
813,1130
814,4734
815,889
816,9302
817,3259
818,9951
819,3726
820,2293
821,9684
822,5135
823,2323
824,7205
825,2017
826,8589
827,9291
828,2757
829,9717
830,3649
831,4922
832,6955
833,5050
834,9709
835,3098
836,6939
837,6078
838,1635
839,78
840,5924
841,8428
842,1784
843,451
844,7135
845,1739
846,316
847,6782
848,5070
849,9670
850,2957
851,201
852,186
853,1830
854,6691
855,5518
856,7310
857,7236
858,8808
859,3079
860,792
861,4994
862,9279
863,3129
864,1851
865,6346
866,6410
867,6282
868,7624
869,5140
870,7006
871,8042
872,4951
873,4958
874,6170
875,6145
876,8574
877,9077
878,7917
879,4620
880,2709
881,8060
882,1586
883,3550
884,2947
885,2263
886,1731
887,4133
888,9137
889,2749
890,763
891,9377
892,7465
893,8101
894,9959
895,4122
896,1908
897,1672
898,6954
899,4297
900,8688
901,388
902,6208
903,5425
904,1516
905,1597
906,1961
907,3297
908,963
909,7836
910,5212
911,1754
912,894
913,557
914,3995
915,9971
916,620
917,9466
918,5634
919,276
920,9851
921,6260
922,7350
923,2881
924,8049
925,7601
926,6165
927,6437
928,2068
929,526
930,7874
931,5504
932,3720
933,5201
934,9647
935,1880
936,2763
937,8707
938,9378
939,9034
940,4119
941,6595
942,8140
943,2658
944,4221
945,3700
946,3090
947,8777
948,8106
949,9736
950,6607
951,5850
952,551
953,5318
954,2979
955,716
956,5743
957,2488
958,36
959,6839
960,2611
961,9130
962,6293
963,2627
964,9716
965,5230
966,7612
967,8837
968,3839
969,4503
970,5795
971,258
972,2128
973,7098
974,8964
975,6617
976,4703
977,1795
978,4366
979,2304
980,2687
981,1963
982,5241
983,7896
984,4545
985,209
986,6804
987,8337
988,187
989,5543
