Rank,Card
1,5051
2,771
3,7276
4,2947
5,1557
6,7718
7,769
8,933
9,500
10,9526
11,2645
12,8286
13,3497
14,5092
15,1919
16,6369
17,9503
18,7954
19,2192
20,5574
21,7383
22,8165
23,4604
24,4488
25,7970
26,909
27,8705
28,5553
29,7866
30,1713
31,1399
32,368
33,6689
34,9130
35,3172
36,2696
37,4446
38,2407
39,9497
40,1168
41,2533
42,7878
43,4779
44,5206
45,6006
46,5747
47,9286
48,9863
49,406
50,4718
51,4821
52,8844
53,6001
54,6996
55,2664
56,1989
57,4118
58,4471
59,7332
60,8858
61,7456
62,2680
63,9178
64,8699
65,5078
66,6771
67,6918
68,5405
69,5527
70,425
71,9736
72,685
73,9125
74,6003
75,2072
76,1607
77,2496
78,5097
79,2542
80,6777
81,1212
82,6733
83,4631
84,1196
85,4050
86,8421
87,2681
88,8551
89,5737
90,1480
91,4160
92,767
93,2201
94,4552
95,8531
96,75
97,627
98,5052
99,7568
100,5232
101,4352
102,9159
103,8751
104,165
105,5817
106,4931
107,8462
108,5451
109,6566
110,8887
111,8101
112,916
113,151
114,9721
115,230
116,3721
117,8412
118,1695
119,1218
120,417
121,5869
122,4033
123,6064
124,6160
125,7203
126,2880
127,2187
128,5781
129,3072
130,6727
131,6791
132,6207
133,3385
134,2112
135,3098
136,4304
137,4858
138,9942
139,86
140,3328
141,231
142,5722
143,2625
144,7821
145,1632
146,6245
147,3824
148,904
149,6411
150,8324
151,8857
152,2886
153,9761
154,9880
155,173
156,9525
157,6620
158,7027
159,1826
160,2663
161,426
162,1927
163,264
164,1886
165,1857
166,2444
167,1932
168,5732
169,9881
170,8796
171,8689
172,6861
173,1883
174,6266
175,1179
176,8645
177,9691
178,2420
179,2203
180,5088
181,1215
182,1610
183,7409
184,9574
185,699
186,9469
187,4998
188,1436
189,2366
190,6908
191,1514
192,9371
193,2695
194,389
195,1706
196,7128
197,9092
198,1018
199,234
200,8298
201,1716
202,3932
203,3003
204,5862
205,844
206,440
207,6486
208,8624
209,137
210,5487
211,692
212,5548
213,6413
214,7746
215,209
216,1348
217,5361
218,3596
219,7129
220,2980
221,9174
222,1254
223,8625
224,3982
225,6927
226,1967
227,8611
228,8910
229,7558
230,2153
231,5702
232,6307
233,9015
234,7550
235,6076
236,6685
237,192
238,3483
239,3000
240,2373
241,1461
242,7870
243,4691
244,7258
245,5173
246,3472
247,6422
248,8302
249,3793
250,7848
251,8895
252,7452
253,9829
254,4817
255,4328
256,4331
257,5484
258,8310
259,7840
260,6333
261,67
262,5070
263,3861
264,3004
265,1870
266,9542
267,274
268,4100
269,4805
270,3864
271,3999
272,8639
273,4162
274,5808
275,193
276,7708
277,4322
278,4765
279,875
280,6508
281,4942
282,8661
283,3157
284,1845
285,720
286,949
287,2837
288,683
289,9370
290,4893
291,9854
292,5525
293,5910
294,9099
295,2313
296,6600
297,9478
298,4275
299,1828
300,3388
301,7601
302,4469
303,4799
304,3397
305,1844
306,4264
307,6150
308,4678
309,2549
310,42
311,5463
312,6027
313,5079
314,284
315,7297
316,3826
317,6355
318,3113
319,8884
320,5573
321,8470
322,3164
323,4320
324,4855
325,6758
326,6053
327,7460
328,9362
329,8435
330,2891
331,6604
332,6209
333,7171
334,912
335,974
336,2498
337,4092
338,1737
339,6813
340,947
341,2009
342,7663
343,674
344,7321
345,3890
346,681
347,197
348,5551
349,7069
350,4726
351,6337
352,6524
353,8387
354,2593
355,7788
356,8613
357,2189
358,9177
359,6747
360,6952
361,3423
362,7338
363,7082
364,3233
365,4361
366,1888
367,6252
368,1816
369,2855
370,2505
371,6310
372,8177
373,6175
374,24
375,3637
376,8230
377,9610
378,3110
379,9868
380,4986
381,2396
382,1429
383,9386
384,2736
385,6841
386,6105
387,1995
388,2578
389,6934
390,6654
391,5074
392,7611
393,6042
394,5147
395,8159
396,4547
397,3303
398,2959
399,4396
400,3301
401,6332
402,1933
403,4340
404,3116
405,9132
406,4089
407,5581
408,4786
409,7525
410,3082
411,3846
412,7166
413,7864
414,6701
415,1013
416,9537
417,8862
418,2667
419,6450
420,6662
421,4864
422,8614
423,9232
424,9938
425,7417
426,2703
427,5713
428,2259
429,9194
430,2393
431,8237
432,4661
433,109
434,5984
435,3761
436,9419
437,9514
438,561
439,3310
440,1486
441,3240
442,4151
443,4823
444,185
445,8122
446,7425
447,5442
448,6038
449,7745
450,5818
451,3247
452,1030
453,6624
454,8252
455,7124
456,6622
457,628
458,97
459,5139
460,5610
461,6206
462,9890
463,9909
464,7585
465,2346
466,2769
