Rank,Card
1,1
2,2
3,3
4,1000
5,10000
6,2435
7,3100
8,7999
9,1277
10,3005
11,5259
12,231
13,6792
14,3221
15,4387
16,3697
17,4132
18,2737
19,6864
20,7140
21,9148
22,3800
23,9991
24,8683
25,4450
26,1293
27,9874
28,8048
29,722
30,6344
31,4063
32,7413
33,3986
34,3832
35,9851
36,7310
37,2490
38,6279
39,6546
40,2362
41,9967
42,7716
43,8505
44,4554
45,584
46,9486
47,3008
48,1254
49,8245
50,9394
51,5309
52,6921
53,7964
54,2504
55,9209
56,6784
57,8425
58,5921
59,1321
60,2136
61,401
62,6470
63,8329
64,8869
65,4920
66,5232
67,6005
68,8484
69,7243
70,9229
71,3475
72,2157
73,700
74,348
75,8986
76,8670
77,6000
78,1313
79,5111
80,9001
81,3552
82,4973
83,8448
84,5663
85,421
86,1121
87,2928
88,6418
89,2560
90,2976
91,6408
92,6234
93,9632
94,4805
95,2615
96,5735
97,9144
98,7771
99,6441
100,6677
101,3132
102,6195
103,873
104,7777
105,2112
106,1746
107,7309
108,5191
109,9013
110,5522
111,9821
112,4792
113,2767
114,7668
115,7739
116,4814
117,459
118,5540
119,8823
120,2962
121,9525
122,3403
123,4858
124,3710
125,2550
126,1846
127,2945
128,8649
129,394
130,8767
131,9600
132,8711
133,5967
134,6001
135,3581
136,704
137,9721
138,3934
139,588
140,306
141,5910
142,5632
143,5702
144,3329
145,6219
146,612
147,1795
148,3461
149,591
150,662
151,1161
152,7585
153,1822
154,4276
155,8538
156,2967
157,8602
158,5416
159,6365
160,7286
161,6253
162,8834
163,7834
164,9366
165,9239
166,840
167,1168
168,4574
169,8225
170,811
171,209
172,4313
173,2758
174,8102
175,2127
176,7985
177,6541
178,6651
179,6422
180,3838
181,9017
182,9656
183,4461
184,9814
185,7602
186,5954
187,8370
188,6095
189,5917
190,5509
191,2189
192,6529
193,7840
194,3467
195,7490
196,4407
197,2045
198,198
199,4357
200,894
201,3113
202,6570
203,6982
204,9377
205,1485
206,3178
207,9812
208,1299
209,7506
210,9940
211,8196
212,7680
213,3313
214,8619
215,4662
216,9635
217,3957
218,7260
219,5307
220,7269
221,6802
222,7085
223,1670
224,1741
225,8971
226,6544
227,8415
228,9126
229,6988
230,5313
231,5487
232,5005
233,9910
234,8741
235,5460
236,192
237,6655
238,7404
239,7673
240,3649
241,5161
242,699
243,9680
244,7962
245,3976
246,8793
247,2779
248,3518
249,7050
250,7298
251,1519
252,7552
253,928
254,5651
255,2306
256,6763
257,1358
258,7880
259,4084
260,2524
261,8426
262,5133
263,3813
264,4415
265,4437
266,5219
267,7652
268,1953
269,5249
270,7122
271,3286
272,9773
273,5304
274,6413
275,5698
276,8610
277,6500
278,1586
279,5700
280,7425
281,4018
282,5541
283,350
284,6146
285,8923
286,3146
287,2404
288,6592
289,4218
290,9275
291,4796
292,2484
293,1472
294,7963
295,5508
296,3180
297,1097
298,4862
299,8650
300,2646
301,6608
302,5046
303,9543
304,7210
305,4029
306,3980
307,7474
308,8605
309,8397
310,7473
311,1467
312,3824
313,6636
314,9454
315,6187
316,1004
317,2447
318,2993
319,3250
320,7879
321,9744
322,9888
323,9619
324,9617
325,4340
326,6423
327,6589
328,8730
329,6714
330,6678
331,376
332,7572
333,8513
334,4370
335,5718
336,3439
337,9662
338,8671
339,6080
340,6059
341,8214
342,2313
343,8927
344,1236
345,3387
346,1456
347,4445
348,5833
349,3419
350,9273
351,6516
352,1610
353,7532
354,4022
355,7959
356,8430
357,6767
358,6458
359,6672
360,7118
361,870
362,2137
363,5245
364,432
365,5383
366,6345
367,3192
368,4494
369,6088
370,7738
371,2035
372,2340
373,4809
374,8352
375,9442
376,2721
377,4989
378,7842
379,4763
380,5737
381,4374
382,1144
383,492
384,1770
385,4294
386,5791
387,9492
388,2518
389,7763
390,8043
391,5657
392,6835
393,2353
394,4071
395,6870
396,1627
397,1603
398,1936
399,6867
400,6850
401,8384
402,2277
403,8427
404,4023
405,7038
406,3125
407,4980
408,3173
409,8736
410,6812
411,6894
412,7273
413,7228
414,702
415,9848
416,293
417,4090
418,7007
419,5448
420,9435
421,4913
422,3781
423,4247
424,6723
425,481
426,1541
427,8828
428,1410
429,1800
430,6373
431,2066
432,6013
433,6343
434,1241
435,9280
436,5483
437,3625
438,5089
439,757
440,5043
441,7059
442,8146
443,3513
444,4217
445,4020
446,2058
447,7105
448,4239
449,2204
450,7618
451,6927
452,9061
453,4373
454,7121
455,4665
456,4893
457,5677
458,9541
